subject,trial,feature,roi
1,12,"[0.011658360480297891, 0.4348306088039108, 0.06798450730612604, 0.5659998786749347, 0.8194140667649735, 0.9335256027788604, 0.8962644981946132, 0.0647366290731084, 0.7900267744433732, 0.2900282671751805, 0.5981148058887843, 0.9056111212547758, 0.9850832501936095]",eye
1,13,"[0.6740075833790744, 0.9823108431393671, 0.6247482521384734, 0.4623270123788151, 0.9675755936367958, 0.12986687962850352, 0.1271372750265215, 0.22462463665709476, 0.06585633484123932, 0.686063590894787, 0.044448899051508506, 0.7894734171893809, 0.17850958724670984]",
1,14,"[0.12980439200502059, 0.15238841639072664, 0.8205732873880036, 0.3607468718880673, 0.35519079278236176, 0.037358681079836864, 0.9969807614494655, 0.1897759211180653, 0.5819379512815477, 0.1327815847271947, 0.7239410684651436, 0.9708836060149485, 0.9710177509646092]",mouth
1,15,"[0.6685291966493201, 0.9456492185780654, 0.19274599592440644, 0.08473723782573295, 0.3329526094099059, 0.48969236724428056, 0.11316637315671718, 0.9019357986762785, 0.9067575832871639, 0.414637779599186, 0.2980334428917566, 0.5016755492264772, 0.12373253627489778]",mouth
1,16,"[0.6751184373633742, 0.48324544922065826, 0.6547547767496358, 0.20506230453829688, 0.46639217156915724, 0.5827269148956861, 0.587540701936758, 0.3889777061487415, 0.2791844642931425, 0.5421594527694777, 0.7367278330764289, 0.23791865889339525, 0.11570572104489985]",eye
1,17,"[0.6107836488481201, 0.24384094288974079, 0.7889319453632878, 0.8665422296537165, 0.907219854411656, 0.8881317661895676, 0.12920723320640493, 0.04520022088380882, 0.8467865300775985, 0.9763714067156268, 0.3803370322597396, 0.12267140537316201, 0.539939110773509]",eye
1,18,"[0.9123762074215306, 0.6183385820597541, 0.19039550286842077, 0.1652187571517062, 0.4589095565164111, 0.7464833714802735, 0.7305811166135326, 0.516416602377345, 0.9877334159565032, 0.9637609266625586, 0.6423505047693852, 0.8302779849867498, 0.44107515439295164]",eye
1,19,"[0.8708706580294675, 0.9890328990486803, 0.9562850439663128, 0.17415635356878312, 0.8417208395836445, 0.5257478139219308, 0.4639748199183077, 0.5826211577633529, 0.906731603834585, 0.4582412730637021, 0.8119564364543903, 0.21290349964383404, 0.7142926764955826]",mouth
1,20,"[0.18629877441216225, 0.9951323588235494, 0.0976003930083803, 0.05088630926046156, 0.5528729892403142, 0.9608081318566701, 0.8047680549961798, 0.37392569505301443, 0.3574283357555573, 0.46144117574954213, 0.6716729913131971, 0.13833164647939533, 0.8874782745384422]",mouth
1,21,"[0.5773857499333518, 0.2858478468942044, 0.44697334909203856, 0.24961297129945703, 0.21651833725367198, 0.8108748791071353, 0.9230601458691183, 0.36584114645268706, 0.4384428569059474, 0.9471297391592503, 0.7752366541126633, 0.8307605016693661, 0.19985359062024366]",eye
1,22,"[0.5056680307454177, 0.744267692400459, 0.2355268418855253, 0.4008553824462263, 0.603660806293553, 0.3686006093983436, 0.025737278279633014, 0.8580653315852952, 0.667852858935168, 0.017393117713366046, 0.5421384335983389, 0.6455740026360177, 0.364272830879112]",eye
1,23,"[0.38147842730997017, 0.018775014709510596, 0.2774737321338602, 0.5422589975835663, 0.4839946200835531, 0.24166211041473018, 0.0007324551732753593, 0.1726199419527904, 0.2860907645873282, 0.9388825258868944, 0.7752539086371462, 0.7508590032999167, 0.6633532242014895]",
1,24,"[0.21963623352224582, 0.9629271290999186, 0.4653139495162404, 0.10997100185971875, 0.5244233329089973, 0.9503270415497285, 0.4214985900105783, 0.8058983802905562, 0.027547538109993663, 0.3561682252912012, 0.5004198710648485, 0.4585161441932838, 0.2374297075523546]",eye
1,25,"[0.37326631762782514, 0.4725653721603149, 0.07531037728903178, 0.5553412073440813, 0.15823972489218963, 0.7962079703346838, 0.08114811885514361, 0.04112666780214169, 0.4463213931479778, 0.2962511246945051, 0.9728241594698646, 0.6690962176042177, 0.582897490839826]",eye
1,26,"[0.007383236407605409, 0.6895245826083601, 0.7657321053344616, 0.958548885312716, 0.10926116950997466, 0.6642713602509152, 0.7620333605045967, 0.6881715522559481, 0.06582463660524773, 0.29021816709886217, 0.5982645172189314, 0.2241551262802114, 0.7602718791246718]",
1,27,"[0.6651590385566629, 0.5647083719871232, 0.6930965305616463, 0.012579011443158539, 0.13764762908339934, 0.26586315968873964, 0.8294730418994705, 0.8213840475060489, 0.6395446530573403, 0.3660003386919285, 0.26477932565161144, 0.1668370467974536, 0.8699523042892624]",mouth
1,28,"[0.3345154524057483, 0.305514660848462, 0.5784926743734091, 0.4158361696796524, 0.34030955691720466, 0.6995060438364064, 0.7056304227872728, 0.8846939001509788, 0.9200172691924263, 0.1772924819031615, 0.3429199337769786, 0.09247622912831965, 0.13724338723348062]",eye
1,29,"[0.26755371154672614, 0.7593554742103628, 0.6675571181601598, 0.36477499498981736, 0.15175201861298693, 0.13981286731863707, 0.6467163357741532, 0.5251819479161506, 0.673476489280674, 0.5212970588820595, 0.14245331669527073, 0.6063239044428466, 0.4330881243875586]",eye
1,30,"[0.1461100793101362, 0.9958954397138959, 0.25754516576846476, 0.1900477132104864, 0.43393958340547834, 0.7935173865631273, 0.13792535327038535, 0.44928181351980256, 0.6164106912068588, 0.9782525549943514, 0.9521793916797631, 0.25188003458990305, 0.2704663306676227]",mouth
1,31,"[0.6193089218601461, 0.37561861186709067, 0.8091769391587119, 0.11586465927264644, 0.7006441321606869, 0.7224574395959047, 0.7790576836919222, 0.9867723144911006, 0.2214187242997553, 0.3681721416054222, 0.7416578256028822, 0.7643316701726116, 0.13470284092528928]",eye
1,32,"[0.12443121031348625, 0.2656599767940738, 0.3166270636254457, 0.7055685547498097, 0.6034485097762587, 0.8838005596138592, 0.04371912614074891, 0.7278617148730187, 0.603764153774342, 0.19494489321486563, 0.9130486434892956, 0.34660872505537244, 0.40524046932461055]",
1,33,"[0.8397472932067116, 0.22092428861730518, 0.3920027857798739, 0.3937826498955911, 0.7685590356198819, 0.24043399755767203, 0.9853473906099054, 0.4613588435863991, 0.6094394049597701, 0.4427526059981579, 0.16314573532152288, 0.666821824973441, 0.06688257224490979]",
1,34,"[0.054691220353667025, 0.8484365110149831, 0.4891960350000196, 0.7835319339039859, 0.21704025407622873, 0.5980637617887714, 0.7609723629344627, 0.8516188222451362, 0.7784055049831285, 0.3202565163615224, 0.612099565829638, 0.8704064972806659, 0.4065601280789507]",
1,35,"[0.14364346485178048, 0.55964628407937, 0.574896608530222, 0.5537190525171225, 0.9031275769309549, 0.9424996976059392, 0.1426748145214114, 0.41484899056688485, 0.827360172072839, 0.343000481371757, 0.13946481869153604, 0.9771000839902289, 0.97587674754326]",
1,36,"[0.10458944098112233, 0.7394122709828513, 0.6177100049607409, 0.47287818999182596, 0.33989464549032644, 0.4891126754131472, 0.8859548159932725, 0.014251419339983529, 0.2811445454107542, 0.3167265062061645, 0.20330299979719035, 0.678031506646034, 0.9873442157245647]",mouth
1,37,"[0.06745331364795126, 0.7681208799319073, 0.6977776517347969, 0.9520953557842664, 0.7602607140614835, 0.280025710929831, 0.07413408733862159, 0.8102894196937543, 0.4305244512410872, 0.9896223986970767, 0.9029870900830357, 0.6419736072394318, 0.3084664560887329]",mouth
1,38,"[0.38254105656975856, 0.9641385283654009, 0.40610433454496064, 0.9164678496518147, 0.15384840855712523, 0.14649914910087347, 0.9161213410781018, 0.44695092821375093, 0.8485499830359673, 0.1330905338006838, 0.835764112728083, 0.8366244833490344, 0.7199572151021721]",mouth
1,39,"[0.43723178416074615, 0.5547848495087543, 0.7523272692822908, 0.9409630739370177, 0.43238287182756185, 0.49491260162713957, 0.22543231801451435, 0.18383672511263072, 0.7273226930371967, 0.7689131777467443, 0.7604331091538217, 0.7822823397789628, 0.18724012976225357]",mouth
1,40,"[0.2425217933582684, 0.6936711693636805, 0.8342229172724897, 0.24634995099901935, 0.24463845055592626, 0.3625955780962472, 0.39707314080696543, 0.09181248591757918, 0.05347635068361145, 0.8844736695650024, 0.49997184385018967, 0.15883337083049676, 0.8288544970798769]",eye
1,41,"[0.33316566276097304, 0.3714411424683879, 0.6940316904333785, 0.8294227110214122, 0.4016597967384946, 0.48908489636622476, 0.8238831201133382, 0.8588345664144258, 0.20327166778271122, 0.2809692900849128, 0.09065873411483139, 0.7012467029263978, 0.37735021413228775]",
1,42,"[0.6444448399111282, 0.6875662913586028, 0.6424499925672745, 0.9394068227869055, 0.887432801135154, 0.016996403861425646, 0.35954924848938996, 0.45445878096875314, 0.7858643087353552, 0.5194063559524313, 0.7982063407512757, 0.48643773495273834, 0.47751080572972526]",mouth
1,43,"[0.03464257851603958, 0.9940706004566131, 0.5912555965866615, 0.9254523077774465, 0.10448150360202535, 0.01422393160558133, 0.8119500791312827, 0.35250543323767536, 0.9272947657554678, 0.9235997659901061, 0.2334931217145707, 0.8319955256806595, 0.8974610870020072]",mouth
1,44,"[0.023856241458901084, 0.7499488918420615, 0.2180379218583065, 0.6848626175885513, 0.9351000288796694, 0.2226159904376237, 0.6091700031532308, 0.757891391310323, 0.2845996487004362, 0.7664930577165001, 0.9237456589432332, 0.7626901139550737, 0.7315506888751234]",
1,45,"[0.8171349935161787, 0.2945997145220831, 0.9059552478389409, 0.379013958602891, 0.5185034027879422, 0.925464678607771, 0.5912660685426492, 0.24612172197858784, 0.8666133678708551, 0.2423930716473921, 0.5672366284068988, 0.2399900953044536, 0.41290962334839376]",mouth
1,46,"[0.7790814957383335, 0.8967705247607566, 0.18239323505505134, 0.27255982774082177, 0.6555706308531716, 0.44688854559199787, 0.5166221873670855, 0.8912992973556514, 0.9402343844677612, 0.709277597378475, 0.4234259478951523, 0.11475778119470315, 0.15927596135174904]",mouth
1,47,"[0.49382670984924215, 0.1830543936502138, 0.8943060900590692, 0.8295096770444906, 0.7050922612455087, 0.8800799663479084, 0.8146157995516167, 0.6234347308502057, 0.030113030252604367, 0.5879255173926716, 0.4102805535866081, 0.3266587875939978, 0.16954426487098584]",
1,48,"[0.7601937317467896, 0.9502575509198492, 0.023306226226450177, 0.26486470332765466, 0.6378125450675579, 0.056649481557516146, 0.6899129075525305, 0.24669432452384144, 0.8469120407945002, 0.861532520378688, 0.2962702861463541, 0.22456186342260687, 0.3591460714379997]",
1,49,"[0.8985795565979551, 0.33996226134921315, 0.21191470213411312, 0.7904137141742738, 0.39292227964848603, 0.26481977040076066, 0.6547899441774647, 0.00444224965618234, 0.3574128515217496, 0.18418231395690765, 0.3223083602791458, 0.8973928453568207, 0.2964810310974322]",
1,50,"[0.04571520427619835, 0.6937933197284011, 0.09653065506944358, 0.9454353870286055, 0.7633475062126824, 0.06433118701514118, 0.42761518692913014, 0.87206715682305, 0.6963227702892918, 0.6574489129356942, 0.2604871157536195, 0.7008813703564964, 0.09956073300362633]",mouth
1,51,"[0.32815780974006803, 0.25753611069584603, 0.7567458582279283, 0.8758060585824797, 0.44678136513523103, 0.06895498043112158, 0.8563611494240624, 0.041880004596168474, 0.4860810329488172, 0.5846683746932216, 0.24326685106403334, 0.6017300561809218, 0.5717834271588957]",mouth
1,52,"[0.6730933009765271, 0.7294056653576453, 0.6337851216909184, 0.9791208529526082, 0.9716738409556502, 0.10192804467629257, 0.47556815095475113, 0.6957816513197054, 0.12964484118604724, 0.4421971812870772, 0.5686203224401101, 0.6217331989397404, 0.051021166704198095]",eye
1,53,"[0.7905758107260638, 0.6778548648436135, 0.26495854405244224, 0.4343116633268499, 0.8440821212871871, 0.8640113570451702, 0.18619009894642624, 0.32609789159542435, 0.3441109894289476, 0.03530104932400069, 0.5473842382279295, 0.322160102487015, 0.8514892149320274]",mouth
1,54,"[0.21383937492683935, 0.270384249719152, 0.24522519599999926, 0.13753274630471068, 0.1406522032038523, 0.6225449346470021, 0.02720172523602582, 0.7866139629859923, 0.8016626665075639, 0.16445261929724053, 0.8236801649205634, 0.9470468540570716, 0.8133167306523521]",eye
1,55,"[0.32709585323914847, 0.44442291649565546, 0.9627630207792627, 0.5433656416207715, 0.44879503005468846, 0.22485226939179093, 0.09471109853295956, 0.5325250804881788, 0.12129382349914697, 0.9483053811902451, 0.8323673092923658, 0.9122776798389937, 0.7003746157777219]",mouth
1,56,"[0.25792202896067395, 0.5575478762518905, 0.602275789425108, 0.7254081229405959, 0.49664381546265435, 0.6588191549069, 0.4340080035843865, 0.03519257615317384, 0.939210127066234, 0.07713642919134722, 0.13419053596194785, 0.707494081958879, 0.6721882968737183]",mouth
1,57,"[0.3159702844856862, 0.7413645726318615, 0.09447206000616382, 0.44075078755075137, 0.6954072338368695, 0.5170090908139806, 0.11059628726016235, 0.8542113995365059, 0.8549332167970009, 0.870071036261285, 0.36804199359856604, 0.05249477494455612, 0.9138394950027887]",
1,58,"[0.22143175206711407, 0.5318328124725619, 0.5638544747741544, 0.8055246873083217, 0.5181531703346045, 0.9251015768122297, 0.4211810347594369, 0.517758656527507, 0.4700012576428263, 0.6225416176223583, 0.1220683022278286, 0.30044373963716053, 0.8612785371462726]",
1,59,"[0.951554079139145, 0.17321723508016496, 0.7525786149989375, 0.24553703324202902, 0.9830883950516401, 0.7591421738188464, 0.7194844503968362, 0.8119177273775641, 0.4353290097887662, 0.8273472064636623, 0.9660799917278504, 0.6056811832278812, 0.9909644049197714]",
1,60,"[0.6567116829340416, 0.6789420780333331, 0.4025988793213864, 0.7125717249846503, 0.2598077660988951, 0.15521749946531027, 0.06709498993077889, 0.37898640179378174, 0.2591857540398059, 0.6357253615315865, 0.3352675452742645, 0.2112522459499565, 0.0306769743844032]",
1,61,"[0.6134727388758419, 0.25136419624483886, 0.09583241854715085, 0.35336625136373656, 0.40399506253940853, 0.25481730940550285, 0.48763163422697486, 0.8031658194964221, 0.2060647640234815, 0.4770290491686727, 0.3609959810151969, 0.4697684161406984, 0.36742176519210135]",eye
1,62,"[0.6631105064358661, 0.9763517277871567, 0.7227112506577087, 0.9115467213843652, 0.8735982312243601, 0.7578582239066883, 0.7984848294199741, 0.5154026946990478, 0.16914301903225248, 0.3502621298968368, 0.614045149832845, 0.515334879675972, 0.781662366394606]",eye
1,63,"[0.40596940061199593, 0.0017103099586250892, 0.9205977979180564, 0.692748187966763, 0.0699380174951737, 0.34094900596645183, 0.1354831126601459, 0.13591656018273346, 0.18283774402611963, 0.18355368115095427, 0.9402024485666232, 0.7366830190369004, 0.5741521001656944]",
1,64,"[0.11780518974382914, 0.33941764561774057, 0.6234336485041585, 0.6044668326896664, 0.3212808831724596, 0.91038010337848, 0.31550421117894445, 0.3623020928784033, 0.6346590063278452, 0.7288044462110327, 0.23346341182633745, 0.20216230245532885, 0.15452749249506925]",mouth
1,65,"[0.7326007059875632, 0.9277650641546664, 0.7521888631627311, 0.4158825536322587, 0.8999960028066973, 0.3376372823832464, 0.13605073717720517, 0.8068886781862853, 0.2647276907123527, 0.15737696997119666, 0.5245958676542651, 0.4273161677688774, 0.4420410917503479]",
1,66,"[0.9559652130138913, 0.7169161021548851, 0.9406291023001515, 0.9814970835444344, 0.08521055261673649, 0.41212413760357713, 0.8016231110326185, 0.06329452896103382, 0.5581191840483302, 0.41084541520934703, 0.35895565159465515, 0.7156188447291272, 0.15191106271586297]",eye
1,67,"[0.14142934553775277, 0.7635820050786929, 0.01824131289157671, 0.1830296968436672, 0.5943761517434857, 0.1693330722649764, 0.5006814819503869, 0.4769702281322682, 0.8053901888621395, 0.43584812786743676, 0.5864108307178622, 0.6387575274397423, 0.9780890027885835]",mouth
1,68,"[0.09491458049792578, 0.5102985217253375, 0.8439861347631096, 0.8646885246760916, 0.6730388523611669, 0.03045030459310305, 0.27553264750269024, 0.6693462687316686, 0.37861574149924937, 0.49592610143288185, 0.04834600879724538, 0.4968064605940744, 0.3054798970631588]",
1,69,"[0.9624042374836269, 0.44290155823429245, 0.5942792877726548, 0.8744721482896873, 0.939742889308284, 0.31719465125239277, 0.9133285615709111, 0.7344723551727534, 0.2590270960065981, 0.8746757663859731, 0.47646133997916196, 0.90277796068325, 0.1881984374027046]",mouth
1,70,"[0.4467854145157426, 0.5020999621597633, 0.7830341059432755, 0.7757606312694335, 0.19414036657591927, 0.3176544389034964, 0.7108263796691886, 0.3209270457310135, 0.28570477474184464, 0.9332474782405765, 0.6719225058153626, 0.2727247788610664, 0.29480158144877533]",eye
1,71,"[0.0018421487917875679, 0.20135273255961772, 0.36578596972335553, 0.510971483295752, 0.534070241124488, 0.8030621340756144, 0.4794208898925407, 0.9757769068948015, 0.9300554247379543, 0.13068901541508482, 0.8089136802069002, 0.22677767292067896, 0.26387387879732516]",eye
1,72,"[0.862983857664781, 0.28613702191981316, 0.8434253387209494, 0.9308142505420544, 0.8966105191765691, 0.9469125496693975, 0.24320369752145776, 0.7706495858134309, 0.781919356943032, 0.9882806162526641, 0.32399955084114973, 0.3288180025108012, 0.4794522753014877]",mouth
1,73,"[0.23992369776327993, 0.46090232395986175, 0.32680117860640934, 0.29323025460317864, 0.09523384690630798, 0.6111617776312444, 0.5428506837261948, 0.15636931092508222, 0.9569460694549594, 0.8392843701114823, 0.2240938900966728, 0.36836243669184665, 0.5994702285472375]",mouth
1,74,"[0.032647754521583416, 0.1546997492634773, 0.6683927553635359, 0.7408693570617187, 0.15494293055599584, 0.649131408753451, 0.08180564953660308, 0.7824383994379596, 0.28775991647555776, 0.19872506150324587, 0.15132247327396375, 0.3053105831033003, 0.6842133845715523]",eye
1,75,"[0.7374901206752156, 0.4372317334974719, 0.8864324021349226, 0.42399116292554895, 0.6244181087182918, 0.6328378993491172, 0.08435889131552898, 0.714883940996922, 0.5770722298156105, 0.7200801542171092, 0.5401849567200517, 0.657119723938921, 0.811428130455626]",eye
1,76,"[0.2633457909779481, 0.98909347558719, 0.21188756950815213, 0.08618054496822725, 0.11451508792732845, 0.5436786673248702, 0.35283592728580815, 0.9343087380466344, 0.5358273175142625, 0.1393394067268331, 0.25465294238480174, 0.5205860762207816, 0.7880353339951175]",mouth
1,77,"[0.9631085426491051, 0.79894029976768, 0.515749863351209, 0.723428270609094, 0.6412929918612009, 0.9478992750366363, 0.8249399048961682, 0.6108066351392251, 0.5261947789682675, 0.18129915907396854, 0.7270116557271117, 0.7336807388503428, 0.5008980700773195]",eye
1,78,"[0.43722692498208815, 0.13323427426685908, 0.7976850056297269, 0.14710112344469461, 0.4598696191509698, 0.8815232454078845, 0.9527638648853022, 0.6066111030115369, 0.2870234113853054, 0.40572640577373675, 0.4819142524138583, 0.9758035995043779, 0.335615373819553]",
1,79,"[0.17678617287977316, 0.0011125424316723587, 0.23854500646795374, 0.28946254945662897, 0.542438249012625, 0.8034629686503805, 0.6678810343542148, 0.2926061145560189, 0.5347899866524392, 0.2093056239676696, 0.06635451722740071, 0.5691158422808702, 0.928390404569645]",
1,80,"[0.6947423445846379, 0.7974868736304785, 0.6850084166392891, 0.9547523582177764, 0.26102686460531166, 0.918290271512324, 0.6037022486577474, 0.8536562251378822, 0.7211789137748774, 0.8249212441162382, 0.10249964162453129, 0.35991473244993477, 0.47164100047777446]",mouth
1,81,"[0.07022474519973554, 0.8642237663932916, 0.5237821026451848, 0.49236541348330376, 0.9898505483134062, 0.3307594844152444, 0.25121820512127535, 0.33598730757676587, 0.15822977011836958, 0.7847006144023444, 0.81135823317448, 0.8787600750623253, 0.6884972214659052]",eye
1,82,"[0.24393113053012894, 0.27608274907747943, 0.1694205555399776, 0.39502939759520483, 0.31254599635251956, 0.8549758162618414, 0.27468354699644093, 0.05432610842556995, 0.8874154559845874, 0.4669143341162565, 0.9803208737326192, 0.37076074013907023, 0.5294594623352559]",mouth
1,83,"[0.7560413441057189, 0.2780682736031953, 0.9623758929441083, 0.62780579996887, 0.09505011832347487, 0.2772306011057212, 0.6249548824438562, 0.40591106919323583, 0.6033382705165649, 0.5705194283913028, 0.7148848877459077, 0.6314439947887882, 0.7221246202647943]",mouth
1,84,"[0.15769745446067218, 0.8149178580721976, 0.5161168476906715, 0.54119311862012, 0.4449800019032185, 0.4296915208981402, 0.4747980344873374, 0.6134801730015913, 0.19922655201037032, 0.22526796219016387, 0.8543144703006427, 0.6093859431410005, 0.05788236622435283]",eye
1,85,"[0.24215400143143984, 0.41595159302042317, 0.2170497832404673, 0.6230628543391622, 0.44983330324073123, 0.4413789034165444, 0.6603841548097434, 0.1807163339213156, 0.6304822505598342, 0.7989269667401055, 0.4005836019749902, 0.13439851625062105, 0.12471440422489022]",mouth
1,86,"[0.2299926059177435, 0.7679602376637751, 0.6197322606546831, 0.6543410211780085, 0.6185294801678888, 0.979503352396807, 0.956357255013226, 0.06140690960533857, 0.19652281255744608, 0.37288253206490407, 0.35207065989711517, 0.3330485424294841, 0.21591274601164168]",eye
1,87,"[0.45016639222275534, 0.24879295617626673, 0.6392701036564871, 0.1714774895794734, 0.23170061198974412, 0.0611213144641799, 0.43572165169014376, 0.9225598881268848, 0.42415630233456525, 0.30342008867514636, 0.3988383161126956, 0.32814251101421366, 0.13541787339319822]",
1,88,"[0.3832601952843876, 0.9064406847731677, 0.5659817940168359, 0.021492526280950885, 0.490381166147816, 0.1193758558107142, 0.9200790692008042, 0.7357523547229284, 0.08617949481699028, 0.1336576263436804, 0.20828212678046987, 0.9576464285415571, 0.09199307873151108]",mouth
1,89,"[0.7571432538871748, 0.8186691179876345, 0.4069598676952475, 0.24620162965220482, 0.9168205532380685, 0.3045081787158517, 0.5957128807249645, 0.17652321016275074, 0.8031812979081925, 0.6060221537711948, 0.7965041203940141, 0.4028306477717506, 0.2617728840248139]",mouth
1,90,"[0.7833189948335388, 0.2948046794592134, 0.057857219471731836, 0.058002986293155145, 0.1446763908978319, 0.2875739054698063, 0.07916835688984836, 0.799012936019675, 0.10577040764836354, 0.5139054399028407, 0.29128868693897203, 0.06016144158703818, 0.05173452988419014]",eye
1,91,"[0.6890621851230374, 0.7491580166409152, 0.9148462873604665, 0.3252817957291494, 0.13074267409121565, 0.3785160958774967, 0.1372476401977345, 0.3213032419459999, 0.4016756544375394, 0.6830227649669066, 0.1442056494675803, 0.12159498624855714, 0.505368842694465]",
1,92,"[0.09809810339065406, 0.19828333666720555, 0.8054428905398083, 0.2976175780748166, 0.9679635476363, 0.9703243563207313, 0.010209750935980089, 0.30638673619059165, 0.17964915710800655, 0.027360068057514342, 0.11354841075298017, 0.10163467533100856, 0.19183964936048659]",eye
1,93,"[0.4769232259342775, 0.5510585728931943, 0.668163005775043, 0.25279418276354093, 0.30002684159783966, 0.3156391945917605, 0.4215365729901901, 0.8828193821918586, 0.8224168356213736, 0.50687415954386, 0.9859245358306472, 0.9988861528772499, 0.9812453236510179]",mouth
1,94,"[0.08754443722785032, 0.7492784996850782, 0.6667651121264334, 0.20415422639006153, 0.3773621963907755, 0.3327115727144031, 0.2842432523007833, 0.4089798538009458, 0.8561386147651161, 0.5262714300020487, 0.7090553499373075, 0.8128895745345028, 0.5494585333386395]",
1,95,"[0.1803704517311413, 0.43949205382056766, 0.604539758371124, 0.783883357987477, 0.09387699745747047, 0.8925689149949415, 0.04760009267969689, 0.6021539045556435, 0.7042171719924807, 0.16916120207480823, 0.733475568023099, 0.02535541513077466, 0.6548959625300491]",mouth
1,96,"[0.007994819326456293, 0.5001217803898079, 0.9016777283056374, 0.431154037932012, 0.45349223549942075, 0.42260324155289886, 0.8641532394336391, 0.2946874698488269, 0.604265968604139, 0.9891680594938078, 0.5314763406406267, 0.4643424662092748, 0.26645146794051255]",mouth
1,97,"[0.6608564297927716, 0.26468428669724586, 0.9486253955078929, 0.27891088688991095, 0.9558260291434534, 0.827367854476721, 0.02434258551697044, 0.06116065344361232, 0.8042914245243543, 0.37814268487632763, 0.19342951568428368, 0.6762211593111641, 0.3200779792038899]",
1,98,"[0.7672753017486917, 0.6708055934728544, 0.9976438508739742, 0.6377432758906062, 0.5346717165266189, 0.38553554712452365, 0.4736457294099402, 0.034369822261544725, 0.664461383753514, 0.1311263696200039, 0.39164844152732237, 0.5811865953568179, 0.2499399428994976]",mouth
1,99,"[0.739724373258622, 0.36333696744867705, 0.5491082677080872, 0.5130715770122574, 0.656012487621618, 0.7092029654298658, 0.7958805495296856, 0.18874984797931504, 0.9847240797261169, 0.34873301764011666, 0.8966192152019061, 0.7539664455029615, 0.9024345813561916]",mouth
1,100,"[0.27406424529198004, 0.2817633312727683, 0.12831505414959699, 0.3910840244742383, 0.07896511066921397, 0.2767433752144567, 0.8860069643490196, 0.7960485792639056, 0.22801691410295521, 0.3318194395083014, 0.19689321017346295, 0.19335163740782169, 0.6373038114261274]",mouth
1,101,"[0.8014309195758882, 0.828803749786113, 0.7646267128705796, 0.7115409915159641, 0.26192953299638266, 0.38714675091719897, 0.15863211904045893, 0.1862022148731174, 0.42564077774983633, 0.14147700614652037, 0.609364418842742, 0.7231783872984525, 0.3350572962622711]",eye
